query_id,fold,control_ndcg10,physical_metric_ndcg10,control_track_rmse_km,physical_metric_track_rmse_km
physical_query_139,report_2015_2016,0.0,0.1487639058405727,1826.5279541015625,1031.5394287109375
physical_query_140,report_2015_2016,0.07336392209936,0.0,2053.678466796875,1310.31005859375
physical_query_141,report_2015_2016,0.0,0.07336392209936,1552.4976806640625,1552.4976806640625
physical_query_142,report_2015_2016,0.0,0.2837125544970319,1737.4268798828125,458.2115478515625
physical_query_143,report_2015_2016,0.1388624438735545,0.4690000933206749,740.0702514648438,349.02374267578125
physical_query_144,report_2015_2016,0.0947883643695507,0.1100458831490401,1586.6092529296875,950.9491577148438
physical_query_145,report_2015_2016,0.2048342475185909,0.1545743395783982,1065.9947509765625,4659.9375
physical_query_146,report_2015_2016,0.0,0.0,4405.89599609375,3865.4453125
physical_query_147,report_2015_2016,0.0,0.0,1356.2274169921875,1401.640869140625
physical_query_148,report_2015_2016,0.07336392209936,0.4249260138166711,985.8267211914062,509.8023071289063
physical_query_149,report_2015_2016,0.0694312219367772,0.0,2136.869873046875,1063.8846435546875
physical_query_150,report_2015_2016,0.0,0.066254223454389,1848.5185546875,1321.9920654296875
physical_query_151,report_2015_2016,0.0,0.2246633760228915,1619.74267578125,1456.6063232421875
